Name,Major SN,Major Code,SubType Name,Sub Code
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 80,80
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 82,82
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 84,84
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 86,86
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 88,88
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 90,90
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 92,92
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 94,94
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 96,96
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 98,98
Wrapped Injection-Molded Tile,23,TI,BH/LD Tile Size 99,99
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 1,F1
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 2,F2
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 3,F3
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 4,F4
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 5,F5
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 6,F6
Wrapped Injection-Molded Tile,23,TI,FH/HD Tile Size 7,F7
Wrapped Injection-Molded Tile,23,TI,Special Tile Size 1,S1
Wrapped Injection-Molded Tile,23,TI,Special Tile Size 2,S2
Wrapped Injection-Molded Tile,23,TI,Special Tile Size 3,S3
Wrapped Injection-Molded Tile,23,TI,Special Tile Size 4,S4
