Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2310,320CBTXA2000031,XXXXXX,000031,1,1,2024-03-14 09:35:29
2311,320CBTXA2000030,XXXXXX,000030,1,1,2024-03-14 09:35:29
2312,320CBTXA2000033,XXXXXX,000033,1,1,2024-03-14 09:35:29
2313,320CBTXA2000032,XXXXXX,000032,1,1,2024-03-14 09:35:30
2314,320CBTXA2000035,XXXXXX,000035,1,1,2024-03-14 09:35:30
2315,320CBTXA2000034,XXXXXX,000034,1,1,2024-03-14 09:35:30
2316,320CBTXA2000037,XXXXXX,000037,1,1,2024-03-14 09:35:30
2317,320CBTXA2000036,XXXXXX,000036,1,1,2024-03-14 09:35:30
2318,320CBTXA2000039,XXXXXX,000039,1,1,2024-03-14 09:35:30
2319,320CBTXA2000038,XXXXXX,000038,1,1,2024-03-14 09:35:30
2320,320MLF3WXSB0003,MLF3W,XSB0003,7,364,2024-03-14 09:35:30
2321,320EL0300000039,EL0300,000039,24,982,2024-03-14 09:35:30
2322,320EL0300000038,EL0300,000038,24,982,2024-03-14 09:35:30
2323,320EL0300000033,EL0300,000033,24,982,2024-03-14 09:35:30
2324,320EL0300000032,EL0300,000032,24,982,2024-03-14 09:35:30
2325,320EL0300000031,EL0300,000031,24,982,2024-03-14 09:35:30
2326,320EL0300000030,EL0300,000030,24,982,2024-03-14 09:35:30
2327,320EL0300000037,EL0300,000037,24,982,2024-03-14 09:35:30
2328,320EL0300000036,EL0300,000036,24,982,2024-03-14 09:35:30
2329,320EL0300000035,EL0300,000035,24,982,2024-03-14 09:35:30
2330,320EL0300000034,EL0300,000034,24,982,2024-03-14 09:35:30
2331,320WW30A3000005,WW30A3,000005,4,101,2024-03-14 09:35:30
2332,320WW30A3000004,WW30A3,000004,4,101,2024-03-14 09:35:30
2333,320WW30A3000007,WW30A3,000007,4,101,2024-03-14 09:35:30
2334,320WW30A3000006,WW30A3,000006,4,101,2024-03-14 09:35:30
2335,320WW30A3000009,WW30A3,000009,4,101,2024-03-14 09:35:30
2336,320WW30A3000008,WW30A3,000008,4,101,2024-03-14 09:35:30
2338,320BC9910110009,BC99,10110009,6,82,2024-03-14 09:35:30
2339,320MLF3WSBX0008,MLF3W,SBX0008,7,364,2024-03-14 09:35:30
2340,320MLF3WSBX0009,MLF3W,SBX0009,7,364,2024-03-14 09:35:30
2341,320BC9000160007,BC90,00160007,6,89,2024-03-14 09:35:30
